Emission Factor Title,Sector,Unit Type,Emission Factor,Source
Charcoal,Energy,kg/tonne,0.1959,CBAM
Charcoal (net CV),Energy,kg/GJ,0.4032,CBAM
Coal - anthracite,Energy,kg/GJ,0.3249,CBAM
Other bituminous coal,Energy,kg/GJ,0.3003,CBAM
Coking coal,Energy,kg/tonne,3.165,CBAM
Lignite,Energy,kg/tonne,0.957,CBAM
Sub-bituminous coal,Energy,kg/tonne,1.895,CBAM
Coal tar,Energy,kg/GJ,0.2953,CBAM
Coke oven coke and lignite coke,Energy,kg/tonne,3.017,CBAM
Coke oven gas,Energy,kg/GJ,0.1387,CBAM
Crude oil,Energy,kg/GJ,0.2375,CBAM
Ethane,Energy,kg/tonne,2.858,CBAM
Gas coke,Energy,kg/tonne,3.017,CBAM
Gas/diesel oil,Energy,kg/tonne,3.186,CBAM
Gas works gas,Energy,kg/GJ,0.1598,CBAM
Industrial waste,Energy,kg/GJ,0.5148,CBAM
Kerosene - other than jet kerosene,Energy,kg/tonne,3.149,CBAM
Landfill gas,Energy,kg/tonne,0.68,CBAM
Landfill gas (net CV),Energy,kg/GJ,0.3625,CBAM
Liquefied petroleum gas LPG,Energy,kg/GJ,0.2161,CBAM
Lubricants,Energy,kg/tonne,3.181,CBAM
Methane,Energy,kg/GJ,0.1779,CBAM
Motor gasoline,Energy,kg/GJ,0.2419,CBAM
Naphtha,Energy,kg/tonne,3.142,CBAM
Natural gas,Energy,kg/tonne,2.59,CBAM
Natural gas liquids,Energy,kg/GJ,0.208,CBAM
Oil shale and tar sands,Energy,kg/GJ,0.3852,CBAM
Orimulsion,Energy,kg/tonne,2.118,CBAM
Other biogas,Energy,kg/tonne,2.752,CBAM
Other biogas (net CV),Energy,kg/GJ,0.1966,CBAM
Other liquid biofuels,Energy,kg/tonne,2.181,CBAM
Other liquid biofuels (net CV),Energy,kg/GJ,0.2866,CBAM
Other petroleum products,Energy,kg/GJ,0.2375,CBAM
Other primary solid biomass,Energy,kg/tonne,1.16,CBAM
Other primary solid biomass (net CV),Energy,kg/GJ,0.36,CBAM
Oxygen steel furnace gas,Energy,kg/tonne,1.285,CBAM
Paraffin waxes,Energy,kg/tonne,2.947,CBAM
Patent fuel,Energy,kg/GJ,0.3159,CBAM
Peat,Energy,kg/tonne,1.035,CBAM
Peat (net CV),Energy,kg/GJ,0.3816,CBAM
Petroleum coke,Energy,kg/tonne,3.387,CBAM
Refinery gas,Energy,kg/GJ,0.2087,CBAM
Refinery feedstocks,Energy,kg/tonne,2.944,CBAM
Residual fuel oil,Energy,kg/GJ,0.2681,CBAM
Shale oil,Energy,kg/tonne,2.793,CBAM
Sludge gas,Energy,kg/tonne,2.752,CBAM
Sludge gas (net CV),Energy,kg/GJ,0.1966,CBAM
Sulphite lyes - black liquor,Energy,kg/tonne,0.007192,CBAM
Sulphite lyes - black liquor (net CV),Energy,kg/GJ,0.3431,CBAM
Waste oils,Energy,kg/tonne,3.219,CBAM
Municipal waste - biomass fraction,Energy,kg/tonne,1.16,CBAM
Municipal waste - biomass fraction (net CV),Energy,kg/GJ,0.36,CBAM
Waste tyres,Energy,kg/GJ,0.306,CBAM
White spirit / SBP,Energy,kg/GJ,0.2375,CBAM
Wood / Wood waste (air dry),Energy,kg/tonne,1.496,CBAM
Wood / Wood waste (air dry) (net CV),Energy,kg/GJ,0.4427,CBAM
Alloy steel - flat-rolled >600mm cold-rolled annealed,Materials and Manufacturing,kg/kg,6.09,CBAM
Alloy steel - flat-rolled >600mm hot-rolled,Materials and Manufacturing,kg/kg,5.48,CBAM
Alloy steel - flat-rolled >600mm plated coated,Materials and Manufacturing,kg/kg,6.09,CBAM
Alloy steel - flat-rolled <600mm cold-rolled annealed,Materials and Manufacturing,kg/kg,6.09,CBAM
Alloy steel - flat-rolled <600mm hot-rolled,Materials and Manufacturing,kg/kg,5.48,CBAM
Alloy steel - flat-rolled <600mm plated coated,Materials and Manufacturing,kg/kg,6.09,CBAM
Alloy steel - primary - hot-rolled flat,Materials and Manufacturing,kg/kg,5.48,CBAM
Alloy steel - primary ingots forgings,Materials and Manufacturing,kg/kg,4.65,CBAM
Aluminium - alloys - bars / rods,Materials and Manufacturing,kg/kg,17.26,CBAM
Aluminium - alloys - hollow profiles,Materials and Manufacturing,kg/kg,17.53,CBAM
Aluminium - alloys - profiles,Materials and Manufacturing,kg/kg,17.53,CBAM
Aluminium - casks / drums / cans / boxes,Materials and Manufacturing,kg/kg,18.22,CBAM
Aluminium - casks drums cans boxes,Materials and Manufacturing,kg/kg,18.22,CBAM
Aluminium - containers for compressed or liquefied gas,Materials and Manufacturing,kg/kg,18.22,CBAM
Aluminium - doors / windows,Materials and Manufacturing,kg/kg,17.53,CBAM
Aluminium - foil,Materials and Manufacturing,kg/kg,18.22,CBAM
Aluminium - household articles - cast,Materials and Manufacturing,kg/kg,16.6,CBAM
Aluminium - household articles - foil,Materials and Manufacturing,kg/kg,18.22,CBAM
Aluminium - household articles - other,Materials and Manufacturing,kg/kg,18.22,CBAM
Aluminium - household - sanitary ware,Materials and Manufacturing,kg/kg,18.22,CBAM
Aluminium - nails / tacks / staples / screws,Materials and Manufacturing,kg/kg,18.22,CBAM
Aluminium - not alloyed - bars / rods,Materials and Manufacturing,kg/kg,17.26,CBAM
Aluminium - not alloyed - profiles,Materials and Manufacturing,kg/kg,17.53,CBAM
Aluminium - other - cast,Materials and Manufacturing,kg/kg,16.6,CBAM
Aluminium - other (nes),Materials and Manufacturing,kg/kg,18.22,CBAM
Aluminium - parts of structures - other nes,Materials and Manufacturing,kg/kg,17.53,CBAM
Aluminium - plates / sheets / strip,Materials and Manufacturing,kg/kg,18.22,CBAM
Aluminium - powders / flakes,Materials and Manufacturing,kg/kg,16.6,CBAM
Aluminium - reservoirs / tanks / vats,Materials and Manufacturing,kg/kg,18.22,CBAM
Aluminium - stranded wire / cables / plaited bands,Materials and Manufacturing,kg/kg,17.26,CBAM
Aluminium - structures - other,Materials and Manufacturing,kg/kg,17.53,CBAM
Aluminium - towers / lattice masts,Materials and Manufacturing,kg/kg,17.53,CBAM
Aluminium - tube / pipe fittings,Materials and Manufacturing,kg/kg,17.53,CBAM
Aluminium - tubes / pipes,Materials and Manufacturing,kg/kg,17.53,CBAM
Aluminium - unwrought,Materials and Manufacturing,kg/kg,16.04,CBAM
Aluminium - wire,Materials and Manufacturing,kg/kg,17.26,CBAM
Aluminium - wire - cloth / grill / netting / fencing,Materials and Manufacturing,kg/kg,18.22,CBAM
Cast iron - tube pipe fittings forgings,Materials and Manufacturing,kg/kg,12.74,CBAM
Cast steel - tube pipe fittings forgings,Materials and Manufacturing,kg/kg,5.01,CBAM
Ferro-alloys - ferro-chromium,Materials and Manufacturing,kg/kg,5.74,CBAM
Ferro-alloys - ferro-manganese,Materials and Manufacturing,kg/kg,4.38,CBAM
Ferro-alloys - ferro-nickel,Materials and Manufacturing,kg/kg,9.76,CBAM
Ferrous products - direct reduction iron core,Materials and Manufacturing,kg/kg,4.81,CBAM
Iron non-alloy steel - angles shapes sections,Materials and Manufacturing,kg/kg,5.63,CBAM
Iron non-alloy steel - bars rods hot-rolled coils,Materials and Manufacturing,kg/kg,5.63,CBAM
Iron non-alloy steel - bars rods hot-rolled drawn extruded forgings,Materials and Manufacturing,kg/kg,6.34,CBAM
Iron non-alloy steel - bars / rods / long,Materials and Manufacturing,kg/kg,5.63,CBAM
Iron non-alloy steel - bars rods nec,Materials and Manufacturing,kg/kg,5.63,CBAM
Iron non-alloy steel - flat-rolled >600mm - clad plated coated,Materials and Manufacturing,kg/kg,5.88,CBAM
Iron non-alloy steel - flat-rolled >600mm cold-rolled,Materials and Manufacturing,kg/kg,5.88,CBAM
Iron non-alloy steel - flat-rolled >600mm hot-rolled,Materials and Manufacturing,kg/kg,5.69,CBAM
Iron non-alloy steel - flat-rolled <600mm clad plated coated,Materials and Manufacturing,kg/kg,5.88,CBAM
Iron non-alloy steel - flat-rolled <600mm hot-rolled,Materials and Manufacturing,kg/kg,5.88,CBAM
Iron non-alloy steel - flat-rolled <600mm - hot-rolled flat,Materials and Manufacturing,kg/kg,5.69,CBAM
Iron non-alloy steel - forgings,Materials and Manufacturing,kg/kg,6.34,CBAM
Iron non-alloy steel - hot-rolled drawn extruded - bars rods long,Materials and Manufacturing,kg/kg,5.63,CBAM
Iron non-alloy steel - plated coated wires,Materials and Manufacturing,kg/kg,5.63,CBAM
Iron non-alloy steel - primary - continuous casting slab billet bloom,Materials and Manufacturing,kg/kg,4.86,CBAM
Iron non-alloy steel - primary - ingots,Materials and Manufacturing,kg/kg,4.8,CBAM
Iron non-alloy steel - wires,Materials and Manufacturing,kg/kg,5.63,CBAM
Iron ores concentrates,Materials and Manufacturing,kg/kg,1.45,CBAM
Iron steel alloy 1 - tubes pipes hollow profiles cold-rolled flat,Materials and Manufacturing,kg/kg,6.09,CBAM
Iron steel alloy 2 - tubes pipes hollow profiles cold-rolled flat,Materials and Manufacturing,kg/kg,6.06,CBAM
Iron steel alloy - tubes pipes hollow profiles hot-rolled flat,Materials and Manufacturing,kg/kg,5.44,CBAM
Iron steel alloys 1 - beams billets rails and tubes,Materials and Manufacturing,kg/kg,4.71,CBAM
Iron steel alloys 2 - beams billets rails and tubes,Materials and Manufacturing,kg/kg,5.69,CBAM
Iron steel - coach wood screws hooks rings,Materials and Manufacturing,kg/kg,5.63,CBAM
Iron steel - containers for gas,Materials and Manufacturing,kg/kg,5.63,CBAM
Iron steel - forged stamped sintered,Materials and Manufacturing,kg/kg,6.34,CBAM
Iron steel - granules / powders,Materials and Manufacturing,kg/kg,12.74,CBAM
Iron steel - ladders - guttering reels,Materials and Manufacturing,kg/kg,5.63,CBAM
Iron steel - nuts,Materials and Manufacturing,kg/kg,5.63,CBAM
Iron steel - other,Materials and Manufacturing,kg/kg,5.88,CBAM
Iron steel - other screws bolts,Materials and Manufacturing,kg/kg,5.63,CBAM
Iron steel - other tubes and pipes,Materials and Manufacturing,kg/kg,5.88,CBAM
Iron steel - other washers,Materials and Manufacturing,kg/kg,5.63,CBAM
Iron steel - railway tramway track,Materials and Manufacturing,kg/kg,5.69,CBAM
Iron steel - reservoirs tanks vats containers >300l,Materials and Manufacturing,kg/kg,5.88,CBAM
Iron steel - rivets,Materials and Manufacturing,kg/kg,5.63,CBAM
Iron steel - sheet piling,Materials and Manufacturing,kg/kg,5.88,CBAM
Iron steel - structures / parts,Materials and Manufacturing,kg/kg,5.88,CBAM
Iron steel - tanks casks drums cans boxes containers <300l,Materials and Manufacturing,kg/kg,5.88,CBAM
Iron steel - tube pipe fittings beams billets rails tubes,Materials and Manufacturing,kg/kg,5.69,CBAM
Iron steel - tubes pipes hollow hot-rolled flat,Materials and Manufacturing,kg/kg,5.69,CBAM
Iron steel - tubes pipes hollow profiles cold-rolled annealed flat,Materials and Manufacturing,kg/kg,5.88,CBAM
Iron steel - tubes pipes hollow profiles plated coated flat,Materials and Manufacturing,kg/kg,5.88,CBAM
Iron steel - wire,Materials and Manufacturing,kg/kg,5.63,CBAM
Iron - tubes pipes hollow profiles cast,Materials and Manufacturing,kg/kg,20.53,CBAM
Pig iron spiegeleisen - pigs blocks primary,Materials and Manufacturing,kg/kg,12.74,CBAM
Stainless steel - angles shapes sections forgings,Materials and Manufacturing,kg/kg,6.03,CBAM
Stainless steel - bars rods hot-rolled coils,Materials and Manufacturing,kg/kg,6.09,CBAM
Stainless steel - flat-rolled >600mm cold-rolled annealed,Materials and Manufacturing,kg/kg,7.47,CBAM
Stainless steel - flat-rolled >600mm hot-rolled,Materials and Manufacturing,kg/kg,6.86,CBAM
Stainless steel - flat-rolled <600mm cold-rolled annealed,Materials and Manufacturing,kg/kg,7.47,CBAM
Stainless steel - flat-rolled <600mm hot-rolled,Materials and Manufacturing,kg/kg,6.86,CBAM
Stainless steel - semi-finished hot-rolled flat,Materials and Manufacturing,kg/kg,6.86,CBAM
Stainless steel - semi-finished ingots forgings,Materials and Manufacturing,kg/kg,6.03,CBAM
Stainless steel - shapes sections bars rods long,Materials and Manufacturing,kg/kg,6.09,CBAM
Stainless steel - tube pipe fittings beams billets rails tubes,Materials and Manufacturing,kg/kg,4.73,CBAM
Stainless steel - wire,Materials and Manufacturing,kg/kg,6.09,CBAM
Stainless steel - wood self-tapping screws,Materials and Manufacturing,kg/kg,6.09,CBAM
Steel alloy - bars rods hot-rolled coils,Materials and Manufacturing,kg/kg,4.71,CBAM
Steel - hollow bars rods long,Materials and Manufacturing,kg/kg,4.71,CBAM
Steel - hollow drill bars rods - forgings,Materials and Manufacturing,kg/kg,4.65,CBAM
Steel other alloy - wire,Materials and Manufacturing,kg/kg,4.71,CBAM
0.2kg down jacket,Consumer Goods and Services,kg/number,3.34,CAEP
0.8kg feather pillow,Consumer Goods and Services,kg/number,1.29,CAEP
1.4kg duvet,Consumer Goods and Services,kg/number,7.57,CAEP
Al-PE-Pa complex package,Consumer Goods and Services,kg/m2,890000.0,CAEP
Bamboo floor,Consumer Goods and Services,kg/tonne,0.379,CAEP
Bamboo furniture,Consumer Goods and Services,kg/tonne,0.252,CAEP
Bamboo integrated timber tea table,Consumer Goods and Services,kg/tonne,0.564,CAEP
Bathroom components,Consumer Goods and Services,kg/m2,5970000.0,CAEP
Cigarettes,Consumer Goods and Services,kg/tonne,0.07,CAEP
Composite wood floor,Consumer Goods and Services,kg/tonne,0.379,CAEP
Concentrated detergent,Consumer Goods and Services,kg/tonne,7.26,CAEP
Cotton breathable jacket,Consumer Goods and Services,kg/tonne,8.55,CAEP
Cotton clothing,Consumer Goods and Services,kg/tonne,18.12,CAEP
Cotton jacket,Consumer Goods and Services,kg/number,8.17,CAEP
Cotton polo shirt,Consumer Goods and Services,kg/tonne,14.35,CAEP
Cotton t-shirt,Consumer Goods and Services,kg/tonne,12.72,CAEP
Decorative paint,Consumer Goods and Services,kg/tonne,0.33,CAEP
Denim jacket,Consumer Goods and Services,kg/number,8.0,CAEP
Detergent,Consumer Goods and Services,kg/tonne,1.46,CAEP
Dishwasher,Consumer Goods and Services,kg/number,110.0,CAEP
Disposable chopsticks,Consumer Goods and Services,kg/tonne,4.6,CAEP
Drinking glass,Consumer Goods and Services,kg/tonne,2.09,CAEP
Drum washing machine,Consumer Goods and Services,kg/number,328.8,CAEP
Dyed cotton shirt,Consumer Goods and Services,kg/tonne,28.63,CAEP
Gas hob,Consumer Goods and Services,kg/number,60.6,CAEP
Gloves,Consumer Goods and Services,kg/tonne,17.31,CAEP
Handmade furniture,Consumer Goods and Services,kg/tonne,13.18,CAEP
Hat,Consumer Goods and Services,kg/tonne,12.17,CAEP
Induction hob,Consumer Goods and Services,kg/number,95.9,CAEP
Jeans,Consumer Goods and Services,kg/number,16.42,CAEP
Juicer,Consumer Goods and Services,kg/number,31.08,CAEP
Kitchen cabinet,Consumer Goods and Services,kg/tonne,3.664,CAEP
Leather shoes,Consumer Goods and Services,kg/number,4.3,CAEP
Leatherware,Consumer Goods and Services,kg/tonne,60.93,CAEP
Magnetic toys,Consumer Goods and Services,kg/tonne,2.92,CAEP
Melamine board furniture,Consumer Goods and Services,kg/tonne,8.1,CAEP
Metal supplies,Consumer Goods and Services,kg/tonne,8.18,CAEP
Metallic kettle,Consumer Goods and Services,kg/number,10.0,CAEP
Microwave,Consumer Goods and Services,kg/number,160.0,CAEP
Modal pajamas,Consumer Goods and Services,kg/number,5.34,CAEP
Modal pants,Consumer Goods and Services,kg/number,3.33,CAEP
Ordinary detergent,Consumer Goods and Services,kg/tonne,5.93,CAEP
Ordinary sneakers,Consumer Goods and Services,kg/number,12.2,CAEP
Panelled furniture,Consumer Goods and Services,kg/tonne,14.69,CAEP
Paper cup,Consumer Goods and Services,kg/tonne,2.53,CAEP
Plastic bag,Consumer Goods and Services,kg/tonne,8.21,CAEP
Plastic film packing bag,Consumer Goods and Services,kg/tonne,3.24,CAEP
Plastic kettle,Consumer Goods and Services,kg/number,8.0,CAEP
Plastic toys,Consumer Goods and Services,kg/tonne,4.49,CAEP
Pure cotton shirt,Consumer Goods and Services,kg/tonne,30.93,CAEP
R-290 home air conditioner,Consumer Goods and Services,kg/number,89.16,CAEP
R-32 home air conditioner,Consumer Goods and Services,kg/number,86.04,CAEP
Red acrylic jacket,Consumer Goods and Services,kg/number,10.08,CAEP
Refrigerator,Consumer Goods and Services,kg/number,166.8,CAEP
Sanitary ceramics,Consumer Goods and Services,kg/tonne,1.98,CAEP
Scarf,Consumer Goods and Services,kg/tonne,13.26,CAEP
Scotch tape,Consumer Goods and Services,kg/tonne,2.77,CAEP
Solid wood flooring,Consumer Goods and Services,kg/tonne,0.379,CAEP
Soybean milk machine,Consumer Goods and Services,kg/number,40.0,CAEP
Swimwear,Consumer Goods and Services,kg/tonne,8.58,CAEP
Synthetic leather shoes,Consumer Goods and Services,kg/number,3.41,CAEP
Takeaway meal,Consumer Goods and Services,kg/tonne,1.9,CAEP
Tea cabinet,Consumer Goods and Services,kg/tonne,2.134,CAEP
Tea table,Consumer Goods and Services,kg/tonne,2.644,CAEP
Tie,Consumer Goods and Services,kg/tonne,13.26,CAEP
Toothpaste,Consumer Goods and Services,kg/tonne,0.22,CAEP
Top tray,Consumer Goods and Services,kg/tonne,1.64,CAEP
Vacuum cleaner,Consumer Goods and Services,kg/number,45.0,CAEP
Wallboard,Consumer Goods and Services,kg/tonne,2.57,CAEP
Waterproof plate,Consumer Goods and Services,kg/m2,1760000.0,CAEP
Whiteboard,Consumer Goods and Services,kg/tonne,0.12,CAEP
Wood veneer furniture,Consumer Goods and Services,kg/tonne,10.82,CAEP
Woven plastic packing bag,Consumer Goods and Services,kg/tonne,2.51,CAEP
Woven sneakers,Consumer Goods and Services,kg/number,6.8,CAEP
Inverter 10kW,Equipment,kg/number,1300.0,CAEP
Inverter 2.5kW,Equipment,kg/number,510.0,CAEP
Inverter 20kW,Equipment,kg/number,2080.0,CAEP
Inverter 5kW,Equipment,kg/number,810.0,CAEP
KF120-LC heat pump water heater,Equipment,kg/number,62.36,CAEP
KF80-LC heat pump water heater,Equipment,kg/number,75.02,CAEP
Polysilicon solar cell (Siemens route),Equipment,kg/number,4.99,CAEP
Polysilicon wafers (Siemens route),Equipment,kg/number,5.84,CAEP
Solar grade silicon (Siemens route),Equipment,kg/tonne,196.8,CAEP
Desktop,Equipment,kg/number,830.8,CAEP
Desktop - Lenovo IdeaCentre AIO 3 24ALC6 23.8 inches,Equipment,kg/number,736.9,CAEP
Desktop - Lenovo IdeaCentre AIO 5 24IOB6 23.8 inches,Equipment,kg/number,755.2,CAEP
Desktop - Lenovo ThinkCentre M70 all-in-one 23 inches,Equipment,kg/number,805.8,CAEP
Desktop - Lenovo V50a AIO 24 inches,Equipment,kg/number,746.7,CAEP
Desktop - Lenovo YOGA AIO 7 27ACH6 27 inches,Equipment,kg/number,1109.0,CAEP
Ethernet GE Network switch - S5700,Equipment,kg/number,800.3,CAEP
Laptop 14 inches,Equipment,kg/number,482.0,CAEP
Mobile phone,Equipment,kg/number,49.18,CAEP
Monitor,Equipment,kg/number,51.69,CAEP
Notebook,Equipment,kg/number,448.4,CAEP
Notebook - Lenovo 100w Gen 3 AMD 15.6 inches,Equipment,kg/number,502.0,CAEP
Notebook - Lenovo ThinkBook Plus G2 ITG 13.3 inches,Equipment,kg/number,352.1,CAEP
Notebook - Lenovo ThinkPad 11e Yoga Gen 6 11 inches,Equipment,kg/number,335.0,CAEP
Notebook - Lenovo Thinkpad 13 Gen 2,Equipment,kg/number,488.0,CAEP
Notebook - Lenovo ThinkPad 8,Equipment,kg/number,220.0,CAEP
Notebook - Lenovo ThinkPad E15 Gen 3 15.6 inches,Equipment,kg/number,490.4,CAEP
Notebook - Lenovo ThinkPad E465,Equipment,kg/number,799.0,CAEP
Notebook - Lenovo ThinkPad E480/R480,Equipment,kg/number,389.0,CAEP
Notebook - Lenovo ThinkPad Edge E431,Equipment,kg/number,422.0,CAEP
Notebook - Lenovo ThinkPad X13 Yoga Gen 2 13.3 inches,Equipment,kg/number,435.0,CAEP
Notebook - Lenovo Yoga Creator 7 15.6 inches,Equipment,kg/number,330.8,CAEP
Server,Equipment,kg/number,778.9,CAEP
Smart device,Equipment,kg/number,405.4,CAEP
Tablet,Equipment,kg/number,177.8,CAEP
Tablet - Lenovo IdeaPad duet 3 10.1 inches,Equipment,kg/number,189.0,CAEP
Tablet - Lenovo Smart Tab M10 FHD Plus with Alexa Built-in 10.3,Equipment,kg/number,95.2,CAEP
Tablet - Lenovo Tab K10 10.3 inches,Equipment,kg/number,98.77,CAEP
Tablet - Lenovo ThinkPad X12 Detachable 12.3 inches,Equipment,kg/number,397.6,CAEP
Tablet - Lenovo Yoga Tab 11 inches,Equipment,kg/number,108.5,CAEP
Asphalt,Energy,kg/tonne,2.57,CAEP
Aviation gasoline,Energy,kg/tonne,3.1,CAEP
Aviation kerosene,Energy,kg/tonne,3.15,CAEP
Bio-FTJ (electric power),Energy,kg/tonne,1.056,CAEP
Bio-FTJ (heating),Energy,kg/tonne,1.937,CAEP
Bio-FTJ - electric power,Energy,kg/tonne,0.00232,CAEP
Bio-FTJ - heating,Energy,kg/tonne,0.00243,CAEP
Bio-PYJ,Energy,kg/tonne,2.013,CAEP
Biodiesel - jatropha curcas,Energy,kg/tonne,2.07,CAEP
Biodiesel - rapeseed,Energy,kg/tonne,3.07,CAEP
Biodiesel - soy,Energy,kg/tonne,4.17,CAEP
Biomass gasification hydrogen,Energy,kg/kg,14.47,CAEP
Bunker oil,Energy,kg/tonne,3.05,CAEP
Cassava fuel ethanol,Energy,kg/l,1.42,CAEP
Coal-fired cogeneration,Energy,kg/tonne,2.1,CAEP
Bituminous coal,Energy,kg/tonne,2.436,CAEP
Briquettes,Energy,kg/tonne,2.106,CAEP
Cleaned coal,Energy,kg/tonne,2.28,CAEP
Coal derived DME,Energy,kg/tonne,4.89,CAEP
Coal gasification-based hydrogen,Energy,kg/kg,21.8,CAEP
Coal gasification-based hydrogen with carbon capture/use and storage,Energy,kg/kg,20.28,CAEP
Coal gasification and gas hydrogen,Energy,kg/kg,23.62,CAEP
Coal gasification and liquid hydrogen,Energy,kg/kg,28.43,CAEP
Other washed coal,Energy,kg/tonne,0.7,CAEP
Coal slime,Energy,kg/tonne,0.19,CAEP
Coal tar pitch,Energy,kg/tonne,1.21,CAEP
Refined coal tar,Energy,kg/tonne,2.64,CAEP
Other washed coal-average,Energy,kg/tonne,0.36,CAEP
Coke,Energy,kg/tonne,2.85,CAEP
Corn fuel ethanol,Energy,kg/l,2.83,CAEP
Crude benzene - from coal tar,Energy,kg/tonne,3.41,CAEP
Diesel oil,Energy,kg/tonne,3.204,CAEP
Industrial fuel oil,Energy,kg/tonne,3.05,CAEP
Gangue,Energy,kg/tonne,0.97,CAEP
Gas boiler,Energy,kg/m3,0.00197,CAEP
Gas of the full-enclosed calcium carbide furnace,Energy,kg/m3,0.00159,CAEP
Gas byproduct of heavy oil catalytic cracking,Energy,kg/tonne,0.44,CAEP
Hydrogen fuel -alkaline electrolysis cells,Energy,kg/kg,6.46,CAEP
Hydrogen fuel - proton exchange membraneelectrolysis cells,Energy,kg/kg,6.0,CAEP
Lamp kerosene,Energy,kg/tonne,1.26,CAEP
Leftover plant material,Energy,kg/tonne,0.15,CAEP
Lindz-donawitz converter gas,Energy,kg/m3,0.00151,CAEP
Liquefied natural gas LNG,Energy,kg/tonne,2.59,CAEP
Liquefied petroleum gas,Energy,kg/m3,1.557,CAEP
Lubricating oil,Energy,kg/tonne,3.181,CAEP
Methane hydrogen,Energy,kg/tonne,0.43,CAEP
Methanol reforming hydrogen,Energy,kg/kg,8.25,CAEP
Middings,Energy,kg/tonne,0.19,CAEP
Vehicle gasoline,Energy,kg/tonne,3.154,CAEP
Natural gas reforming hydrogen,Energy,kg/kg,5.98,CAEP
Natural gas reforming hydrogen with carbon capture/use and storage,Energy,kg/kg,0.41,CAEP
Other gas,Energy,kg/m3,0.00023,CAEP
Paraffin wax,Energy,kg/tonne,2.947,CAEP
Producer gas - byproduct,Energy,kg/tonne,0.0009,CAEP
Recycled gas,Energy,kg/tonne,0.65,CAEP
Shale gas,Energy,kg/m3,0.00188,CAEP
Straw (biomass heating),Energy,kg/tonne,0.0464,CAEP
Straw,Energy,kg/tonne,0.028,CAEP
Straw biogas,Energy,kg/tonne,0.00935,CAEP
Sweet sorghum fuel ethanol,Energy,kg/l,3.13,CAEP
Synthetic natural gas,Energy,kg/tonne,10.8,CAEP
Animal waste,Energy,kg/tonne,1.063,CAEP
Water electrolysis hydrogen,Energy,kg/kg,59.54,CAEP
Fuel wood,Energy,kg/tonne,0.01248,CAEP
Business brochure,Consumer Goods and Services,kg/number,0.17,CAEP
Copy paper,Consumer Goods and Services,kg/tonne,1.76,CAEP
Corrugated paper,Consumer Goods and Services,kg/tonne,1.23,CAEP
Courier envelope,Consumer Goods and Services,kg/tonne,2.53,CAEP
Express package box,Consumer Goods and Services,kg/tonne,1.14,CAEP
Household paper,Consumer Goods and Services,kg/tonne,3.93,CAEP
Newspapers,Consumer Goods and Services,kg/tonne,1.67,CAEP
Waybill,Consumer Goods and Services,kg/tonne,1.87,CAEP
70% blue wool serge,Consumer Goods and Services,kg/tonne,23.61,CAEP
80% grey wool serge,Consumer Goods and Services,kg/tonne,21.16,CAEP
90% black wool serge,Consumer Goods and Services,kg/tonne,22.76,CAEP
Flax fiber,Consumer Goods and Services,kg/tonne,21.64,CAEP
High count pure wool fabric,Consumer Goods and Services,kg/tonne,20.32,CAEP
